SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
HCD-Sanitation Property,Ten Hills,24,28,32,13,10,18,26
HCD-Sanitation Property,The Orchards,2,1,4,5,2,,4
HCD-Sanitation Property,Towanda-Grantley,217,158,160,81,82,108,76
HCD-Sanitation Property,Tremont,141,198,201,106,70,124,161
HCD-Sanitation Property,Tuscany-Canterbury,4,1,5,,,1,3
HCD-Sanitation Property,Union Square,310,226,108,113,120,142,190
HCD-Sanitation Property,University Of Maryland,10,10,11,5,11,9,3
HCD-Sanitation Property,Uplands,81,49,64,46,35,47,79
HCD-Sanitation Property,Upper Fells Point,1525,1063,664,377,378,637,802
HCD-Sanitation Property,Upton,470,304,284,279,329,333,322
HCD-Sanitation Property,Villages Of Homeland,1,,9,1,5,,
HCD-Sanitation Property,Violetville,220,193,321,341,173,223,186
HCD-Sanitation Property,W MULBERRY ST,,,,,,,1
HCD-Sanitation Property,Wakefield,5,6,7,5,,2,2
HCD-Sanitation Property,Walbrook,416,357,440,283,353,413,421
HCD-Sanitation Property,Waltherson,517,434,282,215,339,295,283
HCD-Sanitation Property,WASHINGTON BLVD,,,,,,,2
HCD-Sanitation Property,Washington Hill,128,151,100,90,98,102,80
HCD-Sanitation Property,Washington Village/Pigtown,935,750,476,338,369,405,400
HCD-Sanitation Property,Waverly,386,392,286,230,252,237,268
HCD-Sanitation Property,West Arlington,122,147,136,100,99,90,96
HCD-Sanitation Property,West Forest Park,110,126,97,73,95,92,96
HCD-Sanitation Property,West Hills,96,97,90,84,121,76,78
HCD-Sanitation Property,Westfield,124,120,120,76,134,112,156
HCD-Sanitation Property,Westgate,67,40,34,42,49,34,48
HCD-Sanitation Property,Westport,310,316,209,117,213,174,127
HCD-Sanitation Property,WESTWOOD AVE,,,,,,,1
HCD-Sanitation Property,Wilhelm Park,144,89,119,66,62,140,124
HCD-Sanitation Property,Wilson Park,73,80,68,59,89,74,119
HCD-Sanitation Property,Winchester,292,302,296,203,293,411,366
HCD-Sanitation Property,WINCHESTER ST,,,,,,,1
HCD-Sanitation Property,Windsor Hills,82,126,118,61,73,71,54
HCD-Sanitation Property,Winston-Govans,135,161,151,145,172,139,167
HCD-Sanitation Property,Woodberry,85,58,55,48,48,73,50
HCD-Sanitation Property,Woodbourne Heights,34,53,53,21,46,16,43
HCD-Sanitation Property,Woodbourne-McCabe,99,205,178,113,185,255,209
HCD-Sanitation Property,Woodmere,198,160,233,161,176,177,227
HCD-Sanitation Property,Wrenlane,67,68,65,66,60,48,26
HCD-Sanitation Property,WRIGHT,,,,,,,1
HCD-Sanitation Property,Wyman Park,28,36,36,28,20,14,40
HCD-Sanitation Property,Wyndhurst,10,10,5,3,2,3,2
HCD-Sanitation Property,Yale Heights,186,199,173,110,79,140,116
HCD-Sanitation Property,York-Homeland,4,,13,11,9,2,7
