SW-Dirty Alley,CEDLEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW-Dirty Alley,Cedmont,2,5,2,,2,9,2,2,7,5,3,,3,2,5,7,6,2,2,1,4,7,5,11,2,6,3,2,,1,4,5,11,4,1,6,8,2,3,4,5,4,2,,1,,5,2,2,4,4,3,,4,5,2,,,1,1,2,3,,,1,1,,,5,6,2,,1,4,2,2,2,2,,3,3,1,2,1
SW-Dirty Alley,Cedonia,2,2,2,,3,6,1,1,1,2,1,2,,1,6,1,1,1,,3,2,,3,2,2,1,1,1,1,1,,5,,,1,5,3,1,2,,,1,,1,2,2,,,2,2,1,2,2,,1,,1,1,,1,3,2,,,,1,,,,,,1,,,1,2,2,1,1,2,1,,,
SW-Dirty Alley,Central Forest Park,2,,3,6,1,5,,2,2,4,1,5,2,,1,10,2,5,,5,1,,1,4,,3,6,4,1,8,8,5,5,6,2,,2,,,1,1,1,3,,1,1,,1,4,5,5,2,6,1,3,4,1,1,1,2,1,,2,,,,1,,2,2,1,,,3,3,,,,1,1,1,,1,1
SW-Dirty Alley,Central Park Heights,25,38,28,39,20,38,32,34,32,51,34,22,46,38,49,31,29,19,34,19,15,18,18,32,36,38,49,43,20,25,29,47,31,19,12,27,23,19,9,8,11,13,19,28,23,13,22,15,27,11,56,28,22,15,55,17,21,19,21,13,8,19,22,19,9,24,14,28,25,22,32,26,25,32,50,21,36,32,28,15,28,48,28,26
SW-Dirty Alley,CHALGROVE AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW-Dirty Alley,Charles North,,8,6,7,3,5,20,9,2,,1,3,7,1,6,8,7,4,7,11,6,3,2,5,5,5,4,6,11,5,9,17,5,5,4,6,5,5,4,1,10,6,6,8,11,6,13,9,8,11,11,10,10,12,11,18,14,12,8,8,8,4,8,5,10,8,17,6,7,4,7,4,6,8,3,5,4,8,13,20,5,10,9,12
SW-Dirty Alley,Charles Village,6,4,8,9,13,14,22,28,11,11,13,12,16,9,12,17,25,28,41,26,40,12,4,7,7,6,16,11,15,20,25,30,13,16,9,4,4,6,4,8,9,8,22,21,15,12,6,6,12,2,9,12,11,21,9,11,18,4,2,10,6,3,6,6,10,17,14,18,7,7,7,3,14,5,9,2,8,7,31,14,13,17,12,7
SW-Dirty Alley,Cherry Hill,6,10,7,1,1,5,5,11,8,7,4,6,3,13,11,9,4,9,5,9,3,5,5,5,6,2,7,2,4,1,1,6,3,7,,1,3,1,,,2,1,2,6,3,5,1,2,4,,3,5,5,5,2,3,4,2,,2,2,4,1,3,3,2,5,5,1,1,1,1,4,2,9,5,5,3,4,4,4,1,2,8
SW-Dirty Alley,Cheswolde,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
SW-Dirty Alley,Chinquapin Park,2,1,,,,1,1,,,1,1,,,3,2,1,2,,,2,,,,3,3,4,1,1,,1,,4,1,2,4,4,2,1,,1,,,1,,1,,,,,,5,2,,3,1,1,1,1,,,2,,,2,1,1,,,,,1,1,1,,2,,1,,2,4,,1,,3
SW-Dirty Alley,CHRISTIAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
SW-Dirty Alley,Citywide,1772,1859,2287,2094,1854,2193,2315,2397,2088,2089,1983,1959,2244,2366,2442,2646,2406,2644,2755,2706,1838,2161,1774,2064,2294,1998,2502,2478,1887,2010,2364,2748,2077,1869,1395,1437,1703,1518,1294,863,1318,1576,1963,1735,1944,1660,1381,1188,1498,1357,2557,2282,2049,1999,2025,1837,1790,1478,1088,1171,1241,1205,1659,1450,1548,1772,1853,2000,1961,1821,1530,1418,2035,1646,2023,1556,1817,1855,2045,2031,1849,1760,1448,1793
SW-Dirty Alley,Clifton Park,1,,3,2,,,,,1,,,1,,,4,6,2,1,3,,1,,,1,1,,,,,,,,1,1,1,,1,,,2,1,2,2,,2,,1,1,1,,2,,3,,5,2,1,,,1,,1,4,,,2,,2,1,,2,1,2,2,2,2,,,1,1,2,1,,
SW-Dirty Alley,Coldspring,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,1,2,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,
